"","CUBHE","GC","GCdiv","ConsistencyHE","CUB","CPB","FilteredSequences","nHE","dCUB","d","LowerCI","UpperCI","Sample","sample_ID","sample_total_read_count","names","lakesite","limnion","replicate","fraction","date","month","year","nuc_acid_type","project","season","names_nofracrep","avg_read_length"
"1",0.67213404119326,0.659699265594327,0.159699265594327,0.595764867563826,0.554830838844067,-0.437092802484888,305,39,-0.211421561558441,10.8477258298652,7.8738036639198,15.1739462451965,"91614_DAStool_bin11","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"2",0.523898562105198,0.715219851641045,0.215219851641045,0.397640394164586,0.513566948159845,-0.223993174827165,403,41,-0.0201173653841465,1.37392956801587,0.983738464506712,1.95094377555682,"91614_DAStool_bin128","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"3",0.552044968377345,0.608585621738228,0.108585621738228,0.514192727094543,0.554360987886879,-0.323431144756057,151,21,0.00417781835327652,7.36699823291862,6.14987808249929,8.86686064837,"91614_DAStool_bin130","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"4",0.633400142944388,0.681923215094271,0.181923215094271,0.500718590265485,0.547642930265304,-0.3885434442882,278,34,-0.156593298187086,2.84144406908154,2.50473597426607,3.23080740767671,"91614_DAStool_bin135","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"5",0.664694685807666,0.583263178374211,0.083263178374211,0.524271668924471,0.542940176191858,-0.373181282013126,126,41,-0.224250322512114,3.2167435822275,2.86038890659576,3.62467241086969,"91614_DAStool_bin138","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"6",0.653031693366183,0.679559548111443,0.179559548111443,0.495682343196606,0.556844514547888,-0.296815004138437,310,35,-0.172736152202902,2.23538962776834,1.96919756672678,2.54344594268698,"91614_DAStool_bin140","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"7",0.640919723207834,0.416963565322237,0.0830364346777629,0.540413946109137,0.546943117454237,-0.411778828622258,70,45,-0.171821534551917,5.21163725948463,4.46802358671987,6.09987449828183,"91614_DAStool_bin142","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"8",0.669178662249638,0.516918364036263,0.0169183640362626,0.521553732458061,0.560259143193657,-0.385628637712428,122,42,-0.194409177215931,2.96318762267814,2.64315463028917,3.32821354179271,"91614_DAStool_bin155","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"9",0.552404859865708,0.678353363329168,0.178353363329168,0.434480050037473,0.525986429966692,-0.338865649036106,174,40,-0.0502264476684092,1.91853449583973,1.48315801204548,2.50596311164232,"91614_DAStool_bin19","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"10",0.579405103656813,0.31423461029626,0.18576538970374,0.527507688205266,0.53680121786196,-0.553317554659412,81,43,-0.0793662241761313,7.2795077115415,6.11997007833067,8.69661405410739,"91614_DAStool_bin225","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
"11",0.645479385167829,0.602845188874437,0.102845188874437,0.519054157859919,0.569910912951715,-0.426254379255489,120,41,-0.132596991036241,3.47099969377397,3.07888592624753,3.92114886774285,"91614_DAStool_bin231","91614",160924760,"MDPE1F714","MDP","Top",1,"Free","2014-07-22","July",2014,"DNA","Muskegon_Lake","Summer","MDPE714",119
